date,gender,gender_label,time_code,time_label,url,row_index,confidence,basis,analysis
1998-01-22,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1998-01-22/mfsmm-1-2.html,1,82%,"本命 官禄宫 坐守 武曲
本命 官禄宫 加会2个及以上 化忌 地劫 地空 陀罗 擎羊",功名无望。
1998-01-22,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1998-01-22/mfsmm-1-2.html,2,82%,"本命 坐守 廉贞
本命 财帛宫 加会2个及以上 化忌 火星 铃星 地劫 地空 陀罗 擎羊",无偏财，不宜彩券，遭窃，因赌而输。
1998-01-22,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1998-01-22/mfsmm-1-2.html,3,82%,"本命 官禄宫 坐守 武曲
本命 官禄宫 加会 天马
本命 官禄宫 三方四正不见 禄存 化禄",流动生财。
1998-01-22,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1998-01-22/mfsmm-1-2.html,4,82%,"本命 财帛宫 坐守 贪狼
本命 财帛宫 加会2个及以上 地劫 地空 陀罗 擎羊 大耗",以不投机为宜，否则倾家。不从事投机，则仅代表事业上有极大竞争，或计划常因客观环境影响而生变化，虽受一时损失，容易东山复起。
1998-01-22,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1998-01-22/mfsmm-1-2.html,5,82%,"本命 坐守 七杀
本命 加会2个及以上 擎羊 陀罗 火星 铃星 地劫 地空",眼神威而锐。
1998-01-22,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1998-01-22/mfsmm-1-2.html,6,82%,"本命 坐守 七杀
本命 加会2个及以上 化忌 火星 铃星 地劫 地空 陀罗 擎羊",大起大落，防暴发暴败，纵然有一时发达也难长久，结局大多不佳。
1998-01-22,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1998-01-22/mfsmm-1-2.html,7,80%,本命 官禄宫 坐守 破军 陀罗,职业多变。
1998-01-22,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1998-01-22/mfsmm-1-2.html,8,80%,"本命 官禄宫 坐守 破军
本命 官禄宫 坐守1个及以上 陀罗 擎羊",若无一技防身，则必终生不能有为，以致晚年困苦。
1998-01-22,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1998-01-22/mfsmm-1-2.html,9,80%,"本命 官禄宫 坐守 破军
本命 官禄宫 坐守1个及以上 火星 铃星 地劫 地空 陀罗 擎羊",宜以工程技术起家，从商者必多挫折，纵能化险为夷，也劳心伤神。
1998-01-22,female,女命,1,0-1点,http://mfsm.kvov.com/fx/1998-01-22/mfsmm-1-2.html,10,80%,本命 官禄宫 坐守 武曲 陀罗,因金钱问题而闹出纠纷、麻烦。
